Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,,1000,42441,1.6281407035175879,13.5,7.773953004218244,0.8708094427421263
Heated,,1000,42442,1.6281407035175879,13.5,7.748542334209137,0.871548200669046
Heated,,1000,42443,1.6281407035175879,13.5,7.732002770537359,0.8696973340349353
Heated,,1000,42444,1.6281407035175879,13.5,7.690637430298037,0.8742996767651409
Heated,,1000,42445,1.6281407035175879,13.5,7.654070514705168,0.8696973340349353
Heated,,1000,42446,1.763819095477387,13.5,6.811575046313872,0.770245688955445
Heated,,1000,42447,1.763819095477387,13.5,6.959175698477182,0.765286213696948
Heated,,1000,42448,1.763819095477387,13.5,6.968326667241924,0.7677725710208821
Heated,,1000,42449,1.763819095477387,13.5,6.985046434813224,0.7687634069214319
Heated,,1000,42450,1.763819095477387,13.5,6.969523572691571,0.7677725710208821
Heated,,1000,42451,1.763819095477387,13.5,6.963662393919485,0.7677725710208821
Heated,,1000,42452,1.763819095477387,13.5,6.95737962515495,0.771968994072963
Heated,,1000,42453,1.763819095477387,13.5,6.943748248656679,0.767028053959586
Heated,,1000,42454,1.763819095477387,13.5,6.933660799334615,0.7677725710208821
Heated,,1000,42455,1.763819095477387,13.5,6.945897995936198,0.770245688955445
Heated,Brine,250,46464,1.6281407035175879,13.5,7.346205018307706,6.619694685660584
Heated,Brine,250,46465,1.6281407035175879,13.5,7.350365095580545,0.46662393331588603
Heated,Brine,250,46466,1.6281407035175879,13.5,7.346287586533696,0.46662393331588603
Heated,Brine,250,46467,1.6281407035175879,13.5,7.3385642517253915,0.464166636451622
Heated,Brine,250,46468,1.6281407035175879,13.5,7.335841816985498,0.5605623656764239
Heated,Brine,250,46469,1.6281407035175879,13.5,7.336621106248427,0.0
Heated,Brine,250,46470,1.6281407035175879,13.5,7.3384249937307,0.476162847160976
Heated,Brine,250,46471,1.6281407035175879,13.5,7.331568153681324,0.46662393331588603
Heated,Brine,250,46472,1.6281407035175879,13.5,7.338264101669569,0.46662393331588603
Heated,Brine,250,46473,1.6281407035175879,13.5,7.32547958017214,0.464166636451622
Heated,Brine,250,46474,1.492462311557789,13.5,7.3046775711634355,0.4038609530774666
Heated,Brine,250,46475,1.492462311557789,13.5,7.322759944803496,0.3999463304281544
Heated,Brine,250,46476,1.492462311557789,13.5,7.350827448123632,0.40779464044747354
Heated,Brine,250,46477,1.492462311557789,13.5,7.375597441206014,0.4038609530774666
Heated,Brine,250,46478,1.492462311557789,13.5,7.392017984806753,0.3999463304281544
Heated,Brine,250,46479,1.492462311557789,13.5,7.402528739689875,0.4058254136723833
Heated,Brine,250,46480,1.492462311557789,13.5,7.399691124768673,0.4038609530774666
Heated,Brine,250,46481,1.492462311557789,13.5,7.408638468408977,0.4038609530774666
Heated,Brine,250,46482,1.492462311557789,13.5,7.413441613402712,0.4058254136723833
Heated,Brine,250,46483,1.492462311557789,13.5,7.416106962452941,0.4157192093495716
Heated,Brine,250,46484,1.492462311557789,13.5,7.429277429673036,0.4854396872934607
Heated,Brine,250,46485,1.492462311557789,13.5,7.398141052103305,0.4854396872934607
Heated,Brine,250,46486,1.492462311557789,13.5,7.378349790880697,0.5013428418062919
Heated,Brine,250,46487,1.492462311557789,13.5,7.388415280983219,0.4987956494881965
Heated,Brine,250,46488,1.492462311557789,13.5,7.39830579849137,0.5013428418062919
Heated,Brine,250,46489,1.492462311557789,13.5,7.403495126739231,0.4854396872934607
Heated,Brine,250,46490,1.492462311557789,13.5,7.415925580860959,0.5013428418062919
Heated,Brine,250,46491,1.492462311557789,13.5,7.4107147334569685,0.48293327229462923
Heated,Brine,250,46492,1.492462311557789,13.5,7.4248412793134335,0.5042618623748807
Heated,Brine,250,46493,1.492462311557789,13.5,7.426802139345763,0.5097578638876504
Heated,Water,250,46574,1.763819095477387,13.5,7.657374616261667,0.3655726390156058
Heated,Water,250,46575,1.763819095477387,13.5,7.8023906545149755,6.619694685660584
Heated,Water,250,46576,1.763819095477387,13.5,7.936860649436081,6.619694685660584
Heated,Water,250,46577,1.763819095477387,13.5,8.375063986142363,0.3759118739481922
Heated,Water,250,46578,1.763819095477387,13.5,8.366420465912107,0.3759118739481922
Heated,Water,250,46579,1.763819095477387,13.5,8.143687099916484,0.0
Heated,Water,250,46580,1.763819095477387,13.5,8.17118659241519,0.37433605562827077
Heated,Water,250,46581,1.763819095477387,13.5,8.189118646131814,0.38320326905360674
Heated,Water,250,46582,1.763819095477387,13.5,8.157495629316946,0.0
Heated,Water,250,46583,1.763819095477387,13.5,8.101878697559789,1.7393827671827653
Heated,Water,250,46584,1.763819095477387,13.5,8.177486978292434,0.0
Heated,Water,250,46585,1.763819095477387,13.5,8.178952457288132,6.619694685660584
Heated,Water,250,46586,1.763819095477387,13.5,8.194449687336874,6.619694685660584
Heated,Water,250,46587,1.763819095477387,13.5,8.199787079265757,0.3759118739481922
Heated,Water,250,46588,1.763819095477387,13.5,8.21092879831276,0.3759118739481922
Heated,Water,250,46589,1.763819095477387,13.5,8.214385556537682,0.38320326905360674
Heated,Water,250,46590,1.763819095477387,13.5,8.227996192798619,2.866960707899929
Heated,Water,250,46591,1.763819095477387,13.5,8.231740213103592,0.37433605562827077
Heated,Water,250,46592,1.763819095477387,13.5,8.232513098914152,0.7451144887416269
Heated,Water,250,46593,1.763819095477387,13.5,8.223089085871125,0.3759118739481922
